price,title,buying_mode,condition,accepts_mercadopago,warranty,free_shipping_ind,date_created,last_updated,etiqueta_busqueda
1691990.6,Celular Samsung Galaxy S23 256gb Liberado Refabricado,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2024-02-19T16:16:46.000Z,2024-05-13T03:54:36.527Z,Samsung_s23
1379999,Celular Samsung Galaxy S23 8/256gb Negro Accesorio De Regalo,buy_it_now,new,True,Garantía de fábrica: 12 meses,True,2023-06-02T14:54:42.000Z,2024-05-14T21:06:26.544Z,Samsung_s23
1648990.3,Samsung Galaxy S23 Plus 8gb 512gb Phantom Black Refabricado,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2023-07-26T14:58:21.366Z,2024-05-13T05:10:00.097Z,Samsung_s23
1164999,Samsung Galaxy S23 Fe 5g Fan Edition 128 Gb/8 Gb Ram Menta,buy_it_now,new,True,,True,2024-03-27T12:15:13.000Z,2024-05-15T10:57:02.532Z,Samsung_s23
1799999,Celular Samsung Galaxy S23 8/256gb Negro Auricular De Regalo,buy_it_now,new,True,Garantía de fábrica: 12 meses,True,2023-06-02T14:54:43.000Z,2024-05-14T21:08:32.104Z,Samsung_s23
799999,Samsung Galaxy S23 Fe 128gb 8gb Ram Color Mint,buy_it_now,new,True,Garantía de fábrica: 12 meses,True,2024-01-15T19:28:46.000Z,2024-05-15T10:43:51.837Z,Samsung_s23
1979991,Samsung Galaxy S23 Plus 512gb Liberado Refabricado Black,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2023-07-26T15:09:35.000Z,2024-05-13T03:57:50.099Z,Samsung_s23
2299999,Samsung Galaxy S23 Ultra 5g 1 Tb Phantom Black 12 Gb Ram ,buy_it_now,new,True,Garantía de fábrica: 1 años,True,2024-05-13T14:58:53.000Z,2024-05-13T15:01:06.000Z,Samsung_s23
1287990.8,Samsung Galaxy S23 Sm-s911 256gb Black Refabricado,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2024-02-19T16:10:48.000Z,2024-05-13T05:26:54.840Z,Samsung_s23
1650000,Samsung S23 Ultra (256gb)  ¡nuevo En Caja Sellada! ,buy_it_now,new,True,Garantía de fábrica: 1 años,True,2024-05-14T06:11:18.000Z,2024-05-15T04:42:04.245Z,Samsung_s23
1590000,Galaxy S23 Ultra,buy_it_now,new,True,Garantía de fábrica: 6 meses,True,2024-03-15T13:26:01.000Z,2024-05-13T21:57:14.000Z,Samsung_s23
2133990.3,Samsung Galaxy S23 Plus 512gb 8gb Ram Liberado Refabricado,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2023-07-26T15:05:28.000Z,2024-05-13T05:03:35.973Z,Samsung_s23
1588590.6,Samsung Galaxy S23 Plus Sm-s916 256gb Lavender Refabricado,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2024-02-19T15:23:38.000Z,2024-05-13T04:17:41.765Z,Samsung_s23
1979991,Samsung Galaxy S23 Plus 512gb Black Refabricado Liberado,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2023-07-26T15:05:26.000Z,2024-05-13T03:28:22.631Z,Samsung_s23
1546990.9,Samsung Galaxy S23 Plus 8gb 512gb Refabricado Phantom Black,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2023-07-26T14:58:22.000Z,2024-05-13T03:53:01.540Z,Samsung_s23
2089990.5,Celular Samsung Galaxy S23 Plus 256gb Rosa Refabricado,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2024-02-19T15:30:42.000Z,2024-05-13T07:56:28.234Z,Samsung_s23
1546990.9,Celular Samsung Galaxy S23 Plus 8gb 512gb Negro Refabricado,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2023-07-26T14:58:23.000Z,2024-05-13T09:27:25.278Z,Samsung_s23
1180000,Celular Samsung S23+,buy_it_now,new,True,Garantía de fábrica: 12 meses,True,2024-04-18T15:57:10.000Z,2024-05-14T14:13:30.671Z,Samsung_s23
2300000,Samsung ,buy_it_now,new,True,Garantía de fábrica: 90 días,True,2024-02-29T19:52:31.000Z,2024-04-26T22:46:04.000Z,Samsung_s23
720000.0,Smartphone Samsung Galaxy S23 Ultra Dual Sim 256 Gb Lavender,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:45:13.620Z,2024-05-15T03:55:40.253Z,Samsung_s23
1750000,S 2 4 Ultra  12/512 Gb ¡en Caja Sellada! Leer Descripcion,buy_it_now,new,True,Garantía de fábrica: 1 años,True,2024-05-14T03:55:27.000Z,2024-05-15T11:12:34.532Z,Samsung_s23
351900,Samsung Galaxy A04 Dual Sim 64 Gb  Negro 4 Gb Ram,buy_it_now,new,True,Garantía de fábrica: 3 meses,True,2024-01-30T21:56:30.000Z,2024-04-26T11:42:49.086Z,Samsung_s23
432041.66,Samsung Galaxy A23 Dual Sim 64 Gb  Black 4 Gb Ram,buy_it_now,new,True,Garantía de fábrica: 6 meses,True,2023-02-13T21:11:50.000Z,2024-05-10T06:48:12.959Z,Samsung_s23
770000,Smartphone Samsung Galaxy S23 Ultra 512 Gb Phantom Black,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:43:14.000Z,2024-05-15T03:54:53.461Z,Samsung_s23
899900,Celular Samsung S23 ( 256 Gb) Cream Nuevo ,buy_it_now,new,True,Garantía de fábrica: 6 meses,True,2024-04-12T13:19:24.000Z,2024-05-13T01:03:25.124Z,Samsung_s23
2200000,Samsung S23 Ultra ( 12/512gb) ¡nuevo En Caja Sellada! ,buy_it_now,new,True,Garantía de fábrica: 6 meses,True,2024-05-15T05:03:06.000Z,2024-05-15T05:05:47.326Z,Samsung_s23
770000.0,Smartphone Samsung Galaxy S23 Ultra Dual Sim 512 Gb Lavender,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:43:13.940Z,2024-05-15T03:54:35.217Z,Samsung_s23
720000,Smartphone Samsung Galaxy S23 Ultra 256 Gb Phantom Black,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:45:14.000Z,2024-05-15T05:01:33.830Z,Samsung_s23
1499999,Samsung S23 Ultra 256gb 8gb(no Envio) No Es Refubr. La Plata,buy_it_now,new,True,Garantía de fábrica: 11 meses,True,2024-01-06T14:04:44.321Z,2024-05-13T07:11:56.242Z,Samsung_s23
720000,Smartphone Samsung Galaxy S23 Ultra 256 Gb Phantom Black,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:43:14.000Z,2024-05-15T04:29:56.100Z,Samsung_s23
720000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 256 Gb Green,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:43:14.000Z,2024-05-15T03:58:19.000Z,Samsung_s23
2900000,Galaxy S23 Ultra,buy_it_now,new,True,Garantía de fábrica: 3 meses,True,2023-12-31T11:35:42.000Z,2024-05-10T20:56:39.995Z,Samsung_s23
720000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 256 Gb Cream,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:45:49.000Z,2024-05-15T04:30:17.000Z,Samsung_s23
770000.0,Smartphone Samsung Galaxy S23 Ultra 512 Gb Phantom Black,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:45:13.580Z,2024-05-15T03:58:33.837Z,Samsung_s23
770000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 512 Gb Green,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:45:49.000Z,2024-05-15T04:07:39.000Z,Samsung_s23
770000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 512 Gb Green,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:43:14.000Z,2024-05-15T04:08:01.000Z,Samsung_s23
770000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 512 Gb Cream,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:45:13.000Z,2024-05-15T04:03:37.000Z,Samsung_s23
720000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 256 Gb Lavender,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:43:14.000Z,2024-05-15T03:54:28.000Z,Samsung_s23
770000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 512 Gb Cream,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:43:14.000Z,2024-05-15T03:58:27.000Z,Samsung_s23
1250000,Celular Samsung Galaxy S23 Ultra Ram 8gb + 256gb - Sms918b,buy_it_now,used,True,Sin garantía,True,2024-04-05T16:33:36.000Z,2024-04-07T15:06:28.000Z,Samsung_s23
2000000,Samsung Galaxy S23 Ultra - Cream - 256 Gb,buy_it_now,used,True,Garantía de fábrica: 4 meses,False,2024-05-15T04:41:28.000Z,2024-05-15T04:43:20.000Z,Samsung_s23
770000.0,Smartphone Samsung Galaxy S23 Ultra Dual Sim 512 Gb Lavender,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:45:49.121Z,2024-05-15T03:48:35.132Z,Samsung_s23
720000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 256 Gb Cream,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:43:14.000Z,2024-05-15T03:47:03.000Z,Samsung_s23
720000,Smartphone Samsung Galaxy S23 Ultra Dual Sim 256 Gb Green,buy_it_now,new,True,Garantía de fábrica: 24 meses,False,2024-05-15T03:45:49.000Z,2024-05-15T05:15:33.000Z,Samsung_s23
720000,Samsung Galaxy Z Fold 3 - 512 Gb,buy_it_now,used,True,Sin garantía,True,2024-05-14T15:38:30.208Z,2024-05-14T18:08:37.515Z,Samsung_s23
1675000,Samsung Galaxy S23 256gb ,buy_it_now,new,True,Sin garantía,True,2024-04-27T18:56:05.000Z,2024-05-09T13:13:54.000Z,Samsung_s23
1299999.17,Samsung Galaxy S23 128gb Verde Caja Sellada Hot Sale,buy_it_now,new,True,Sin garantía,True,2024-05-11T14:33:14.000Z,2024-05-14T13:26:30.804Z,Samsung_s23
1100000,Samsung Galaxy S23 Fe 256gb Cream Nuevo Caja Sellada Fact,buy_it_now,new,True,Garantía del vendedor: 6 meses,True,2024-05-07T13:25:55.000Z,2024-05-14T17:40:47.301Z,Samsung_s23
1700000,Samsung Galaxy S23 Ultra 256gb Dual Sim 8gb Ram 200mpx Negro,buy_it_now,new,True,Garantía del vendedor: 30 días,True,2024-04-06T04:49:44.000Z,2024-05-14T18:25:52.000Z,Samsung_s23
1600000,Samsung S23ultra ,buy_it_now,new,True,Garantía de fábrica: 12 meses,False,2024-04-05T13:40:10.000Z,2024-05-11T05:48:23.430Z,Samsung_s23
1016799,Samsung S23 Fe 8gb Ram 256gb Negro,buy_it_now,new,True,Garantía del vendedor: 6 meses,True,2024-05-14T03:50:04.000Z,2024-05-15T05:02:46.789Z,Samsung_s23
580000,Samsung S23 Fe 256gb,buy_it_now,used,True,Garantía del vendedor: 3 meses,True,2024-02-13T16:59:10.000Z,2024-05-14T20:21:17.274Z,Samsung_s23
956000,Smartphone Samsung Galaxy S23 Ultra 256 Gb Phantom Black,buy_it_now,new,True,Sin garantía,False,2024-05-12T15:30:05.000Z,2024-05-12T18:12:59.997Z,Samsung_s23
1545000,Samsung Galaxy S23 256gb Color Phantom Black,buy_it_now,new,True,Garantía del vendedor: 90 días,True,2024-03-26T22:28:17.000Z,2024-05-12T10:18:20.876Z,Samsung_s23
1150000,Samsung S23 Plus - 256gb Phantom Black,buy_it_now,new,True,Garantía del vendedor: 3 meses,True,2024-05-05T22:16:48.000Z,2024-05-11T07:21:57.839Z,Samsung_s23
850000,Samsung Galaxy S23,buy_it_now,new,True,Garantía del vendedor: 1 meses,True,2024-05-11T16:07:10.000Z,2024-05-15T01:22:00.411Z,Samsung_s23
1390000,Samsung Galaxy S23 128 Gb 8 Gb Nuevo Sellado Importado Eeuu ,buy_it_now,new,True,Garantía del vendedor: 12 meses,True,2024-05-07T13:38:49.000Z,2024-05-07T13:57:51.000Z,Samsung_s23
1590000,Samsung Galaxy S23 Ultra 256gb,buy_it_now,new,True,Garantía de fábrica: 12 meses,False,2024-04-24T13:03:36.000Z,2024-05-09T19:07:17.279Z,Samsung_s23
1700000,Samsung Galaxy S23 Ultra 256 Gb,buy_it_now,new,True,Garantía de fábrica: 12 meses,False,2024-04-02T23:47:09.000Z,2024-04-25T16:26:14.000Z,Samsung_s23
1400000,Celular Samsung Galaxy S23 Fe 256 Gb 5g,buy_it_now,new,True,Sin garantía,True,2024-05-12T03:41:27.000Z,2024-05-13T21:58:18.930Z,Samsung_s23
790000,Celular Samsung S23 Fe 256gb,buy_it_now,new,True,Sin garantía,False,2024-05-14T23:22:08.000Z,2024-05-14T23:53:08.000Z,Samsung_s23
949000,Samsung S23 256 Gb Panthom  Black,buy_it_now,new,True,Sin garantía,True,2024-03-21T14:16:22.000Z,2024-05-10T23:36:44.683Z,Samsung_s23
950000,Celular Samsung S23 Fe,buy_it_now,new,True,Garantía de fábrica: 12 meses,False,2024-04-19T16:05:07.000Z,2024-05-12T12:06:14.246Z,Samsung_s23
930000,Celular Samsung S23 Fe,buy_it_now,new,True,Garantía del vendedor: 12 meses,True,2024-05-09T15:09:44.000Z,2024-05-09T15:54:51.508Z,Samsung_s23
997000,Samsung Galaxy S23 Fe 256gb Libre Dual Sim Con Nfc,buy_it_now,new,True,Garantía de fábrica: 6 meses,True,2024-04-03T23:47:17.000Z,2024-05-11T23:47:43.622Z,Samsung_s23
800000,Samsung Galaxy S23 Fe,buy_it_now,new,True,Garantía de fábrica: 6 meses,False,2024-05-13T10:56:38.000Z,2024-05-13T17:40:55.000Z,Samsung_s23
1000000,Celular Samsung Galaxy S23 Fe Graphite - Nuevo Sellado ,buy_it_now,new,True,Garantía de fábrica: 1 años,False,2024-05-06T19:14:07.000Z,2024-05-08T13:01:43.518Z,Samsung_s23
1900000,Celular Samsung S23 Plus,buy_it_now,new,True,Garantía del vendedor: 3 meses,False,2024-04-02T04:42:38.000Z,2024-05-11T16:05:51.834Z,Samsung_s23
1200000,Samsung Galaxy S23 Fe,buy_it_now,new,True,Sin garantía,False,2024-04-23T20:33:24.000Z,2024-05-10T18:38:04.276Z,Samsung_s23
1699000,Samsung Galaxy S23 Ultra Color Green + Cargador Rápido,buy_it_now,used,True,Garantía de fábrica: 4 meses,True,2024-01-26T18:44:30.000Z,2024-05-13T22:27:04.630Z,Samsung_s23
1250000,Samsung S23 Fe,buy_it_now,new,True,Garantía de fábrica: 6 meses,False,2024-05-02T14:56:31.000Z,2024-05-02T14:57:09.000Z,Samsung_s23
329000,Samsung Galaxy A15 6gb Ram + 128 Gb Memoria Interna,buy_it_now,new,True,Garantía de fábrica: 30 días,True,2024-04-25T21:00:50.000Z,2024-05-12T18:32:59.290Z,Samsung_s23
1390000,Samsung Galaxy S23 256gb Black (no Es Version Fe),buy_it_now,new,True,Garantía de fábrica: 1 años,True,2024-03-16T00:25:15.000Z,2024-05-12T22:54:51.981Z,Samsung_s23
1489000,Samsung Galaxy S23 Ultra 512gb,buy_it_now,used,True,Garantía de fábrica: 3 meses,True,2024-01-03T13:54:04.000Z,2024-05-14T20:42:19.448Z,Samsung_s23
900000,Samsung Galaxy S23 256gb Color Phantom Black,buy_it_now,used,True,Sin garantía,False,2024-03-09T17:29:34.000Z,2024-05-11T22:45:00.563Z,Samsung_s23
1500000,Samsung Galaxy S23 Ultra 12gb 256gb Negro C Cargador Y Funda,buy_it_now,used,True,Garantía del vendedor: 30 días,False,2024-01-08T15:49:20.000Z,2024-05-12T16:42:29.517Z,Samsung_s23
1850000,"Samsung Galaxy S23 Ultra 256gb Box Negro, Permuto Ps5 Xbox !",buy_it_now,used,True,,True,2023-12-16T13:37:00.000Z,2024-05-11T22:02:39.030Z,Samsung_s23
1695950,Samsung Galaxy S23 Ultra 12gb 256gb Color Green,buy_it_now,used,True,Sin garantía,False,2024-03-20T21:15:26.000Z,2024-05-11T02:07:33.771Z,Samsung_s23
1388304,Samsung Galaxy S23 Verde Usado ,buy_it_now,used,True,Garantía del vendedor: 6 meses,False,2023-10-03T19:36:19.000Z,2024-05-10T18:21:00.963Z,Samsung_s23
1800000,Samsung S23 Ultra 12gb 512 Gb Dual Sim.venta-permuta,buy_it_now,used,True,Sin garantía,False,2024-03-02T18:15:46.000Z,2024-05-13T17:39:10.239Z,Samsung_s23
1388304,Samsung Galaxy S23 Verde Usado _ap,buy_it_now,used,True,Garantía del vendedor: 6 meses,False,2023-10-03T19:38:59.000Z,2024-05-10T17:45:22.079Z,Samsung_s23
2750000,Samsung Galaxy S23 Ultra 512gb Color Verde Mas Accesorios,buy_it_now,used,True,Garantía del vendedor: 10 días,True,2024-05-10T13:59:45.000Z,2024-05-14T23:17:32.753Z,Samsung_s23
1600000,Samsung Galaxy S23 Ultra 512gb Color Verde,buy_it_now,used,True,Sin garantía,False,2024-04-15T16:41:22.000Z,2024-05-15T03:04:37.764Z,Samsung_s23
1499999,Samsung Galaxy S23 Ultra 512gb Color Negro,buy_it_now,used,True,Sin garantía,False,2024-04-15T17:02:33.000Z,2024-05-12T00:27:24.757Z,Samsung_s23
2800000,Samsung Galaxy S23 Ultra 512gb Color Verde Mas Accesorios,buy_it_now,used,True,Garantía del vendedor: 10 días,True,2024-05-10T23:51:29.000Z,2024-05-14T23:15:39.060Z,Samsung_s23
3190000,Samsung Galaxy S23 Ultra 512gb Color Verde Mas Accesorios,buy_it_now,used,True,Garantía del vendedor: 10 días,True,2024-05-10T23:57:06.000Z,2024-05-14T23:14:29.487Z,Samsung_s23
1850000,Samsung Galaxy S23 Ultra 512gb Color Verde Mas Accesorios,buy_it_now,used,True,Garantía del vendedor: 10 días,True,2024-05-10T13:57:10.000Z,2024-05-14T23:17:10.146Z,Samsung_s23
1150000,Samsung Galaxy S23 Ultra 12gb 512gb - Como Nuevo! C/ Funda,buy_it_now,used,True,Sin garantía,True,2024-04-29T17:55:33.704Z,2024-05-14T22:38:01.412Z,Samsung_s23
1387000,Samsung Galaxy S23 256gb Color Phantom Black,buy_it_now,used,True,Garantía de fábrica: 90 días,True,2023-12-28T20:24:06.000Z,2024-04-17T02:29:21.672Z,Samsung_s23
750000,Samsung Galaxy S23 256 Gb Phantom Black 8 Gb 6 Meses De Uso,buy_it_now,used,True,Sin garantía,False,2024-04-25T20:58:55.000Z,2024-05-14T01:58:18.216Z,Samsung_s23
1050000,Samsung S23 256gb Cream Impecable Gtía 6 Meses Factura,buy_it_now,used,True,Garantía de fábrica: 6 meses,False,2024-04-12T14:02:23.000Z,2024-05-10T20:57:12.163Z,Samsung_s23
750000,Samung S23 256 Gb Impecable Con Inteligencia Artificial ,buy_it_now,used,True,Sin garantía,True,2024-04-23T17:09:29.000Z,2024-05-04T20:19:50.000Z,Samsung_s23
1500000,Samsung Galaxy S23 Plus Libre Impecable 256 Gb,buy_it_now,used,True,Sin garantía,False,2024-05-10T18:44:52.000Z,2024-05-13T15:15:50.000Z,Samsung_s23
920000,Celular Samsung Galaxy S23 ,buy_it_now,used,True,Sin garantía,True,2024-01-29T21:04:18.000Z,2024-04-21T01:59:48.000Z,Samsung_s23
920000,Samsung S23 Plus 512 Gb + Cargador 25w + Smart Tag + Cover ,buy_it_now,used,True,Sin garantía,True,2024-05-06T00:00:31.000Z,2024-05-13T14:26:14.300Z,Samsung_s23
850000,Venta Permuta Samsung S23 Fe Caja Sellada iPhone Apple Celu,buy_it_now,used,True,Sin garantía,False,2024-05-15T01:32:17.000Z,2024-05-15T01:33:04.051Z,Samsung_s23
820000,Samsung Galaxy S23 - Completo Con Fundas,buy_it_now,used,True,Sin garantía,True,2024-03-31T03:25:32.000Z,2024-05-15T03:53:32.000Z,Samsung_s23
1350000,Celular Samsung S23 254 Gigas ,buy_it_now,used,True,Garantía de fábrica: 3 meses,True,2024-04-12T14:55:37.000Z,2024-05-08T14:36:29.249Z,Samsung_s23
1900000,Samsung S23 Ultra 512gb,buy_it_now,used,True,Garantía de fábrica: 3 meses,False,2024-04-06T16:56:55.000Z,2024-05-13T19:29:17.384Z,Samsung_s23
800000,Samsung Galaxy S23 Plus 512gb - Funcionando Perfectamente ,buy_it_now,used,True,Sin garantía,False,2024-02-27T14:00:27.000Z,2024-04-20T04:19:42.000Z,Samsung_s23
1050000,"Samsung Galaxy S23, 256 Gb 8gb; Color Phantom Black. + Funda",buy_it_now,used,True,Garantía de fábrica: 8 meses,True,2023-09-30T00:56:10.000Z,2024-05-11T12:27:50.476Z,Samsung_s23
1500000,Celular Samsung S23+ Como Nuevo Con Accesorios,buy_it_now,used,True,Sin garantía,True,2024-05-12T13:57:21.000Z,2024-05-12T13:58:33.000Z,Samsung_s23
1000000,Celular Samsung S23 128gb Negro,buy_it_now,used,True,Sin garantía,True,2024-05-10T13:18:34.000Z,2024-05-10T19:22:55.258Z,Samsung_s23
1100000,Celular Samsung S23 ,buy_it_now,used,True,Sin garantía,True,2024-05-10T13:27:51.000Z,2024-05-10T13:28:00.000Z,Samsung_s23
1660000, Samsung Galaxy S23 Ultra 256 Gb Green 12 Gb Ram,buy_it_now,used,True,Sin garantía,True,2024-05-01T16:21:27.000Z,2024-05-14T16:54:39.000Z,Samsung_s23
1599000,Samsung Galaxy S23 Ultra - Cream - 256gb,buy_it_now,used,True,Garantía de fábrica: 4 meses,True,2024-05-14T16:47:56.000Z,2024-05-15T04:35:31.000Z,Samsung_s23
800000,Samsung Galaxy S23 Fe 128 Gb,buy_it_now,used,True,Garantía del vendedor: 15 días,True,2024-05-05T21:37:46.000Z,2024-05-07T18:09:44.090Z,Samsung_s23
1350000,Samsung Galaxy S23 Verde Usado Como Nuevo ,buy_it_now,used,True,Sin garantía,True,2024-03-03T15:03:51.000Z,2024-03-14T12:44:18.000Z,Samsung_s23
820000,Samsung S23fe  256gb,buy_it_now,used,True,Sin garantía,True,2024-04-13T14:23:10.000Z,2024-05-13T18:19:36.409Z,Samsung_s23
1299000,Samsung Galaxy S23 Ultra - Cream - 256gb,buy_it_now,used,True,Garantía de fábrica: 4 meses,True,2024-05-14T17:20:00.000Z,2024-05-15T02:47:29.000Z,Samsung_s23
1020000,Samsung S23ultra White 256gb / 12gb Ram ,buy_it_now,used,True,Garantía del vendedor: 1 meses,False,2024-05-10T15:24:54.000Z,2024-05-14T14:46:18.000Z,Samsung_s23
599000,Samsung Galaxy S23 Fe 256gb Violeta Nuevo Garantia Y Factura,buy_it_now,used,True,Garantía de fábrica: 12 meses,False,2024-04-04T13:55:29.000Z,2024-05-09T17:13:35.087Z,Samsung_s23
990000,Celular Samsung Galaxy S23 ,buy_it_now,used,True,Sin garantía,True,2024-03-08T13:12:28.000Z,2024-05-14T19:52:58.942Z,Samsung_s23
1300000,Celular Samsung S23 Cream 256 Gb Con Cargador 45w ,buy_it_now,used,True,Sin garantía,True,2024-03-05T19:07:40.000Z,2024-03-05T20:05:30.000Z,Samsung_s23
1200000,Samsung Galaxy S23ultra 256gb,buy_it_now,used,True,Garantía de fábrica: 6 meses,False,2024-04-04T15:45:18.000Z,2024-05-14T18:12:03.849Z,Samsung_s23
1250000,Samsung Galaxy S23 Plus 256 Gb + Cargador Ultra Rapi.+ Cable,buy_it_now,used,True,Sin garantía,False,2024-04-26T14:50:46.000Z,2024-05-13T19:44:30.000Z,Samsung_s23
1600000,Celular Samsung S23 Ultra ,buy_it_now,used,True,Sin garantía,True,2024-04-29T15:25:34.000Z,2024-05-02T18:42:04.556Z,Samsung_s23
1200000,Samsung Galaxy S23 256gb Color Phantom Black,buy_it_now,used,True,Sin garantía,True,2024-01-02T15:59:02.000Z,2024-05-11T20:55:09.915Z,Samsung_s23
1399000,Samsung S23 Ultra 512gb,buy_it_now,used,True,Garantía del vendedor: 3 días,True,2024-03-29T15:56:06.000Z,2024-05-14T12:46:32.756Z,Samsung_s23
1399999,Celular Samsung S23 Ultra 512gb Verde,buy_it_now,used,True,Garantía del vendedor: 1 meses,True,2024-03-06T03:33:57.000Z,2024-05-10T09:26:13.918Z,Samsung_s23
1750000,Samsung Galaxy S23 Ultra 12gb 256gb Color Cream 6 Meses Uso,buy_it_now,used,True,Garantía de fábrica: 6 meses,True,2023-12-29T16:18:04.040Z,2024-05-10T16:18:54.542Z,Samsung_s23
1900000,Samsung Galaxy S23 Ultra  1 Tb  - Ed. Limit. + Cargador Orig,buy_it_now,used,True,Garantía de fábrica: 30 días,True,2024-03-14T23:41:35.000Z,2024-05-09T00:49:05.000Z,Samsung_s23
1250000,Samsung Galaxy S23 Ultra 12gb/256gb,buy_it_now,used,True,Sin garantía,False,2024-02-26T13:58:47.000Z,2024-05-10T22:30:00.964Z,Samsung_s23
1250000,Samsung S23 Ultra ,buy_it_now,used,True,Garantía del vendedor: 3 meses,True,2024-05-02T01:00:21.000Z,2024-05-14T01:37:54.000Z,Samsung_s23
1275000,Samsung S23 Cream 256gb Impecable Gtía 6 Meses C/factura,buy_it_now,used,True,Garantía de fábrica: 6 meses,False,2024-04-12T13:43:22.000Z,2024-05-11T07:19:24.660Z,Samsung_s23
